AGE GROUP (YEARS),Cancer,Detected,NUM_WOMEN,Period,Screen,STATE
60–69,Interval,0-12,0,2006-2008,1,SA
60–69,Interval,0-12,0,2006-2008,1,TAS
60–69,Interval,0-12,1,2006-2008,1,VIC
60–69,Interval,0-12,1,2006-2008,1,WA
60–69,Interval,0-12,6,2006-2008,2+,ACT
60–69,Interval,0-12,202,2006-2008,2+,NSW
60–69,Interval,0-12,1,2006-2008,2+,NT
60–69,Interval,0-12,95,2006-2008,2+,QLD
60–69,Interval,0-12,54,2006-2008,2+,SA
60–69,Interval,0-12,6,2006-2008,2+,TAS
60–69,Interval,0-12,125,2006-2008,2+,VIC
60–69,Interval,0-12,34,2006-2008,2+,WA
60–69,Interval,0-12,0,2007-2009,1,ACT
60–69,Interval,0-12,15,2007-2009,1,NSW
60–69,Interval,0-12,0,2007-2009,1,NT
60–69,Interval,0-12,5,2007-2009,1,QLD
60–69,Interval,0-12,1,2007-2009,1,SA
60–69,Interval,0-12,0,2007-2009,1,TAS
60–69,Interval,0-12,1,2007-2009,1,VIC
60–69,Interval,0-12,1,2007-2009,1,WA
60–69,Interval,0-12,9,2007-2009,2+,ACT
60–69,Interval,0-12,207,2007-2009,2+,NSW
60–69,Interval,0-12,2,2007-2009,2+,NT
60–69,Interval,0-12,100,2007-2009,2+,QLD
60–69,Interval,0-12,55,2007-2009,2+,SA
60–69,Interval,0-12,7,2007-2009,2+,TAS
60–69,Interval,0-12,108,2007-2009,2+,VIC
60–69,Interval,0-12,38,2007-2009,2+,WA
60–69,Interval,0-12,0,2008-2010,1,ACT
60–69,Interval,0-12,12,2008-2010,1,NSW
60–69,Interval,0-12,0,2008-2010,1,NT
60–69,Interval,0-12,6,2008-2010,1,QLD
60–69,Interval,0-12,1,2008-2010,1,SA
60–69,Interval,0-12,0,2008-2010,1,TAS
60–69,Interval,0-12,0,2008-2010,1,VIC
60–69,Interval,0-12,1,2008-2010,1,WA
60–69,Interval,0-12,12,2008-2010,2+,ACT
60–69,Interval,0-12,211,2008-2010,2+,NSW
60–69,Interval,0-12,2,2008-2010,2+,NT
60–69,Interval,0-12,104,2008-2010,2+,QLD
60–69,Interval,0-12,48,2008-2010,2+,SA
60–69,Interval,0-12,12,2008-2010,2+,TAS
60–69,Interval,0-12,107,2008-2010,2+,VIC
60–69,Interval,0-12,45,2008-2010,2+,WA
60–69,Interval,0-12,0,2009-2011,1,ACT
60–69,Interval,0-12,11,2009-2011,1,NSW
60–69,Interval,0-12,0,2009-2011,1,NT
60–69,Interval,0-12,3,2009-2011,1,QLD
60–69,Interval,0-12,2,2009-2011,1,SA
60–69,Interval,0-12,0,2009-2011,1,TAS
60–69,Interval,0-12,2,2009-2011,1,VIC
60–69,Interval,0-12,4,2009-2011,1,WA
60–69,Interval,0-12,12,2009-2011,2+,ACT
60–69,Interval,0-12,203,2009-2011,2+,NSW
60–69,Interval,0-12,2,2009-2011,2+,NT
60–69,Interval,0-12,113,2009-2011,2+,QLD
60–69,Interval,0-12,56,2009-2011,2+,SA
60–69,Interval,0-12,15,2009-2011,2+,TAS
60–69,Interval,0-12,122,2009-2011,2+,VIC
60–69,Interval,0-12,56,2009-2011,2+,WA
60–69,Interval,0-12,0,2010-2012,1,ACT
60–69,Interval,0-12,12,2010-2012,1,NSW
60–69,Interval,0-12,0,2010-2012,1,NT
60–69,Interval,0-12,2,2010-2012,1,QLD
60–69,Interval,0-12,2,2010-2012,1,SA
60–69,Interval,0-12,0,2010-2012,1,TAS
60–69,Interval,0-12,2,2010-2012,1,VIC
60–69,Interval,0-12,5,2010-2012,1,WA
60–69,Interval,0-12,15,2010-2012,2+,ACT
60–69,Interval,0-12,233,2010-2012,2+,NSW
60–69,Interval,0-12,0,2010-2012,2+,NT
60–69,Interval,0-12,119,2010-2012,2+,QLD
60–69,Interval,0-12,73,2010-2012,2+,SA
60–69,Interval,0-12,16,2010-2012,2+,TAS
60–69,Interval,0-12,127,2010-2012,2+,VIC
60–69,Interval,0-12,64,2010-2012,2+,WA
60–69,Interval,0-12,0,2011-2013,1,ACT
60–69,Interval,0-12,16,2011-2013,1,NSW
60–69,Interval,0-12,0,2011-2013,1,NT
60–69,Interval,0-12,1,2011-2013,1,QLD
60–69,Interval,0-12,2,2011-2013,1,SA
60–69,Interval,0-12,0,2011-2013,1,TAS
60–69,Interval,0-12,3,2011-2013,1,VIC
60–69,Interval,0-12,6,2011-2013,1,WA
60–69,Interval,0-12,8,2011-2013,2+,ACT
60–69,Interval,0-12,223,2011-2013,2+,NSW
60–69,Interval,0-12,1,2011-2013,2+,NT
60–69,Interval,0-12,85,2011-2013,2+,QLD
60–69,Interval,0-12,80,2011-2013,2+,SA
60–69,Interval,0-12,16,2011-2013,2+,TAS
60–69,Interval,0-12,144,2011-2013,2+,VIC
60–69,Interval,0-12,80,2011-2013,2+,WA
60–69,Interval,0-12,0,2012-2014,1,ACT
60–69,Interval,0-12,15,2012-2014,1,NSW
60–69,Interval,0-12,0,2012-2014,1,NT
60–69,Interval,0-12,1,2012-2014,1,QLD
60–69,Interval,0-12,1,2012-2014,1,SA
60–69,Interval,0-12,0,2012-2014,1,TAS
60–69,Interval,0-12,3,2012-2014,1,VIC
60–69,Interval,0-12,2,2012-2014,1,WA
60–69,Interval,0-12,8,2012-2014,2+,ACT
60–69,Interval,0-12,214,2012-2014,2+,NSW
60–69,Interval,0-12,1,2012-2014,2+,NT
60–69,Interval,0-12,43,2012-2014,2+,QLD
60–69,Interval,0-12,74,2012-2014,2+,SA
60–69,Interval,0-12,14,2012-2014,2+,TAS
60–69,Interval,0-12,152,2012-2014,2+,VIC
60–69,Interval,0-12,75,2012-2014,2+,WA
60–69,Interval,13-24,0,2004-2006,1,ACT
60–69,Interval,13-24,22,2004-2006,1,NSW
60–69,Interval,13-24,0,2004-2006,1,NT
60–69,Interval,13-24,7,2004-2006,1,QLD
60–69,Interval,13-24,0,2004-2006,1,SA
60–69,Interval,13-24,0,2004-2006,1,TAS
60–69,Interval,13-24,14,2004-2006,1,VIC
60–69,Interval,13-24,7,2004-2006,1,WA
60–69,Interval,13-24,7,2004-2006,2+,ACT
60–69,Interval,13-24,228,2004-2006,2+,NSW
60–69,Interval,13-24,124,2004-2006,2+,QLD
60–69,Interval,13-24,80,2004-2006,2+,SA
60–69,Interval,13-24,20,2004-2006,2+,TAS
60–69,Interval,13-24,240,2004-2006,2+,VIC
60–69,Interval,13-24,74,2004-2006,2+,WA
60–69,Interval,13-24,0,2005-2007,1,ACT
60–69,Interval,13-24,31,2005-2007,1,NSW
60–69,Interval,13-24,0,2005-2007,1,NT
60–69,Interval,13-24,7,2005-2007,1,QLD
60–69,Interval,13-24,1,2005-2007,1,SA
60–69,Interval,13-24,1,2005-2007,1,TAS
60–69,Interval,13-24,13,2005-2007,1,VIC
60–69,Interval,13-24,7,2005-2007,1,WA
60–69,Interval,13-24,8,2005-2007,2+,ACT
60–69,Interval,13-24,294,2005-2007,2+,NSW
60–69,Interval,13-24,2,2005-2007,2+,NT
60–69,Interval,13-24,187,2005-2007,2+,QLD
60–69,Interval,13-24,84,2005-2007,2+,SA
60–69,Interval,13-24,21,2005-2007,2+,TAS
60–69,Interval,13-24,244,2005-2007,2+,VIC
60–69,Interval,13-24,73,2005-2007,2+,WA
60–69,Interval,13-24,0,2006-2008,1,ACT
60–69,Interval,13-24,20,2006-2008,1,NSW
60–69,Interval,13-24,0,2006-2008,1,NT
60–69,Interval,13-24,8,2006-2008,1,QLD
60–69,Interval,13-24,1,2006-2008,1,SA
60–69,Interval,13-24,2,2006-2008,1,TAS
60–69,Interval,13-24,7,2006-2008,1,VIC
60–69,Interval,13-24,3,2006-2008,1,WA
60–69,Interval,13-24,7,2006-2008,2+,ACT
60–69,Interval,13-24,207,2006-2008,2+,NSW
60–69,Interval,13-24,4,2006-2008,2+,NT
60–69,Interval,13-24,223,2006-2008,2+,QLD
60–69,Interval,13-24,96,2006-2008,2+,SA
60–69,Interval,13-24,21,2006-2008,2+,TAS
60–69,Interval,13-24,265,2006-2008,2+,VIC
60–69,Interval,13-24,71,2006-2008,2+,WA
60–69,Interval,13-24,2,2007-2009,1,ACT
60–69,Interval,13-24,18,2007-2009,1,NSW
60–69,Interval,13-24,0,2007-2009,1,NT
60–69,Interval,13-24,13,2007-2009,1,QLD
60–69,Interval,13-24,1,2007-2009,1,SA
60–69,Interval,13-24,2,2007-2009,1,TAS
60–69,Interval,13-24,4,2007-2009,1,VIC
60–69,Interval,13-24,3,2007-2009,1,WA
60–69,Interval,13-24,13,2007-2009,2+,ACT
60–69,Interval,13-24,295,2007-2009,2+,NSW
60–69,Interval,13-24,4,2007-2009,2+,NT
60–69,Interval,13-24,253,2007-2009,2+,QLD
60–69,Interval,13-24,105,2007-2009,2+,SA
60–69,Interval,13-24,35,2007-2009,2+,TAS
60–69,Interval,13-24,296,2007-2009,2+,VIC
60–69,Interval,13-24,70,2007-2009,2+,WA
60–69,Interval,13-24,2,2008-2010,1,ACT
60–69,Interval,13-24,14,2008-2010,1,NSW
60–69,Interval,13-24,0,2008-2010,1,NT
60–69,Interval,13-24,8,2008-2010,1,QLD
60–69,Interval,13-24,0,2008-2010,1,SA
60–69,Interval,13-24,1,2008-2010,1,TAS
60–69,Interval,13-24,5,2008-2010,1,VIC
60–69,Interval,13-24,2,2008-2010,1,WA
60–69,Interval,13-24,17,2008-2010,2+,ACT
60–69,Interval,13-24,292,2008-2010,2+,NSW
60–69,Interval,13-24,3,2008-2010,2+,NT
60–69,Interval,13-24,237,2008-2010,2+,QLD
60–69,Interval,13-24,108,2008-2010,2+,SA
60–69,Interval,13-24,34,2008-2010,2+,TAS
60–69,Interval,13-24,306,2008-2010,2+,VIC
60–69,Interval,13-24,89,2008-2010,2+,WA
60–69,Interval,13-24,3,2009-2011,1,ACT
60–69,Interval,13-24,13,2009-2011,1,NSW
60–69,Interval,13-24,0,2009-2011,1,NT
60–69,Interval,13-24,10,2009-2011,1,QLD
60–69,Interval,13-24,0,2009-2011,1,SA
60–69,Interval,13-24,1,2009-2011,1,TAS
60–69,Interval,13-24,3,2009-2011,1,VIC
60–69,Interval,13-24,2,2009-2011,1,WA
60–69,Interval,13-24,14,2009-2011,2+,ACT
60–69,Interval,13-24,302,2009-2011,2+,NSW
60–69,Interval,13-24,4,2009-2011,2+,NT
60–69,Interval,13-24,232,2009-2011,2+,QLD
60–69,Interval,13-24,105,2009-2011,2+,SA
60–69,Interval,13-24,36,2009-2011,2+,TAS
60–69,Interval,13-24,338,2009-2011,2+,VIC
60–69,Interval,13-24,104,2009-2011,2+,WA
60–69,Interval,13-24,1,2010-2012,1,ACT
60–69,Interval,13-24,11,2010-2012,1,NSW
60–69,Interval,13-24,0,2010-2012,1,NT
60–69,Interval,13-24,6,2010-2012,1,QLD
60–69,Interval,13-24,1,2010-2012,1,SA
60–69,Interval,13-24,1,2010-2012,1,TAS
60–69,Interval,13-24,4,2010-2012,1,VIC
60–69,Interval,13-24,0,2010-2012,1,WA
60–69,Interval,13-24,14,2010-2012,2+,ACT
60–69,Interval,13-24,341,2010-2012,2+,NSW
60–69,Interval,13-24,4,2010-2012,2+,NT
60–69,Interval,13-24,243,2010-2012,2+,QLD
60–69,Interval,13-24,98,2010-2012,2+,SA
60–69,Interval,13-24,40,2010-2012,2+,TAS
60–69,Interval,13-24,337,2010-2012,2+,VIC
60–69,Interval,13-24,103,2010-2012,2+,WA
60–69,Interval,13-24,1,2012-2014,1,ACT
60–69,Interval,13-24,9,2012-2014,1,NSW
60–69,Interval,13-24,0,2012-2014,1,NT
60–69,Interval,13-24,0,2012-2014,1,QLD
60–69,Interval,13-24,3,2012-2014,1,SA
60–69,Interval,13-24,1,2012-2014,1,TAS
60–69,Interval,13-24,7,2012-2014,1,VIC
60–69,Interval,13-24,4,2012-2014,1,WA
60–69,Interval,13-24,19,2012-2014,2+,ACT
60–69,Interval,13-24,344,2012-2014,2+,NSW
60–69,Interval,13-24,1,2012-2014,2+,NT
60–69,Interval,13-24,88,2012-2014,2+,QLD
60–69,Interval,13-24,96,2012-2014,2+,SA
60–69,Interval,13-24,42,2012-2014,2+,TAS
60–69,Interval,13-24,303,2012-2014,2+,VIC
60–69,Interval,13-24,116,2012-2014,2+,WA
60–69,Interval,13–24,2,2011-2013,1,ACT
60–69,Interval,13–24,11,2011-2013,1,NSW
60–69,Interval,13–24,0,2011-2013,1,NT
60–69,Interval,13–24,5,2011-2013,1,QLD
60–69,Interval,13–24,1,2011-2013,1,SA
60–69,Interval,13–24,2,2011-2013,1,TAS
60–69,Interval,13–24,4,2011-2013,1,VIC
60–69,Interval,13–24,1,2011-2013,1,WA
60–69,Interval,13–24,15,2011-2013,2+,ACT
60–69,Interval,13–24,343,2011-2013,2+,NSW
60–69,Interval,13–24,3,2011-2013,2+,NT
60–69,Interval,13–24,164,2011-2013,2+,QLD
60–69,Interval,13–24,101,2011-2013,2+,SA
60–69,Interval,13–24,37,2011-2013,2+,TAS
60–69,Interval,13–24,347,2011-2013,2+,VIC
60–69,Interval,13–24,98,2011-2013,2+,WA
70+,Interval,0-12,0,2004-2006,1,ACT
70+,Interval,0-12,0,2004-2006,1,NT
70+,Interval,0-12,0,2004-2006,1,SA
70+,Interval,0-12,0,2004-2006,2+,ACT
70+,Interval,0-12,39,2004-2006,2+,NSW
70+,Interval,0-12,0,2004-2006,2+,NT
70+,Interval,0-12,39,2004-2006,2+,QLD
70+,Interval,0-12,8,2004-2006,2+,SA
70+,Interval,0-12,4,2004-2006,2+,TAS
70+,Interval,0-12,47,2004-2006,2+,VIC
70+,Interval,0-12,10,2004-2006,2+,WA
70+,Interval,0-12,0,2005-2007,1,ACT
70+,Interval,0-12,1,2005-2007,1,NSW
70+,Interval,0-12,0,2005-2007,1,NT
70+,Interval,0-12,5,2005-2007,1,QLD
70+,Interval,0-12,0,2005-2007,1,SA
70+,Interval,0-12,0,2005-2007,1,TAS
70+,Interval,0-12,1,2005-2007,1,VIC
70+,Interval,0-12,2,2005-2007,1,WA
70+,Interval,0-12,0,2005-2007,2+,ACT
70+,Interval,0-12,22,2005-2007,2+,NSW
70+,Interval,0-12,0,2005-2007,2+,NT
70+,Interval,0-12,66,2005-2007,2+,QLD
70+,Interval,0-12,14,2005-2007,2+,SA
70+,Interval,0-12,6,2005-2007,2+,TAS
70+,Interval,0-12,56,2005-2007,2+,VIC
70+,Interval,0-12,8,2005-2007,2+,WA
70+,Interval,0-12,0,2006-2008,1,ACT
70+,Interval,0-12,3,2006-2008,1,NSW
70+,Interval,0-12,0,2006-2008,1,NT
70+,Interval,0-12,6,2006-2008,1,QLD
70+,Interval,0-12,0,2006-2008,1,SA
70+,Interval,0-12,0,2006-2008,1,TAS
70+,Interval,0-12,2,2006-2008,1,VIC
70+,Interval,0-12,1,2006-2008,1,WA
70+,Interval,0-12,0,2006-2008,2+,ACT
70+,Interval,0-12,24,2006-2008,2+,NSW
70+,Interval,0-12,0,2006-2008,2+,NT
70+,Interval,0-12,62,2006-2008,2+,QLD
70+,Interval,0-12,13,2006-2008,2+,SA
70+,Interval,0-12,4,2006-2008,2+,TAS
70+,Interval,0-12,57,2006-2008,2+,VIC
70+,Interval,0-12,9,2006-2008,2+,WA
70+,Interval,0-12,0,2007-2009,1,ACT
70+,Interval,0-12,3,2007-2009,1,NSW
70+,Interval,0-12,0,2007-2009,1,NT
70+,Interval,0-12,5,2007-2009,1,QLD
70+,Interval,0-12,0,2007-2009,1,SA
70+,Interval,0-12,0,2007-2009,1,TAS
70+,Interval,0-12,1,2007-2009,1,VIC
70+,Interval,0-12,1,2007-2009,1,WA
70+,Interval,0-12,0,2007-2009,2+,ACT
70+,Interval,0-12,27,2007-2009,2+,NSW
70+,Interval,0-12,0,2007-2009,2+,NT
70+,Interval,0-12,31,2007-2009,2+,QLD
70+,Interval,0-12,14,2007-2009,2+,SA
70+,Interval,0-12,3,2007-2009,2+,TAS
70+,Interval,0-12,52,2007-2009,2+,VIC
70+,Interval,0-12,9,2007-2009,2+,WA
70+,Interval,0-12,0,2008-2010,1,ACT
70+,Interval,0-12,3,2008-2010,1,NSW
70+,Interval,0-12,0,2008-2010,1,NT
70+,Interval,0-12,2,2008-2010,1,QLD
70+,Interval,0-12,0,2008-2010,1,SA
70+,Interval,0-12,0,2008-2010,1,TAS
70+,Interval,0-12,2,2008-2010,1,VIC
70+,Interval,0-12,0,2008-2010,1,WA
70+,Interval,0-12,1,2008-2010,2+,ACT
70+,Interval,0-12,34,2008-2010,2+,NSW
70+,Interval,0-12,0,2008-2010,2+,NT
70+,Interval,0-12,40,2008-2010,2+,QLD
70+,Interval,0-12,8,2008-2010,2+,SA
70+,Interval,0-12,2,2008-2010,2+,TAS
70+,Interval,0-12,40,2008-2010,2+,VIC
70+,Interval,0-12,10,2008-2010,2+,WA
70+,Interval,0-12,0,2009-2011,1,ACT
70+,Interval,0-12,1,2009-2011,1,NSW
70+,Interval,0-12,0,2009-2011,1,NT
70+,Interval,0-12,0,2009-2011,1,QLD
70+,Interval,0-12,0,2009-2011,1,SA
70+,Interval,0-12,0,2009-2011,1,TAS
70+,Interval,0-12,2,2009-2011,1,VIC
70+,Interval,0-12,0,2009-2011,1,WA
70+,Interval,0-12,1,2009-2011,2+,ACT
70+,Interval,0-12,46,2009-2011,2+,NSW
70+,Interval,0-12,0,2009-2011,2+,NT
70+,Interval,0-12,47,2009-2011,2+,QLD
70+,Interval,0-12,15,2009-2011,2+,SA
70+,Interval,0-12,2,2009-2011,2+,TAS
70+,Interval,0-12,34,2009-2011,2+,VIC
70+,Interval,0-12,12,2009-2011,2+,WA
70+,Interval,0-12,0,2010-2012,1,ACT
70+,Interval,0-12,0,2010-2012,1,NSW
70+,Interval,0-12,0,2010-2012,1,NT
70+,Interval,0-12,0,2010-2012,1,QLD
70+,Interval,0-12,1,2010-2012,1,SA
70+,Interval,0-12,0,2010-2012,1,TAS
70+,Interval,0-12,3,2010-2012,1,VIC
70+,Interval,0-12,0,2010-2012,1,WA
70+,Interval,0-12,3,2010-2012,2+,ACT
70+,Interval,0-12,59,2010-2012,2+,NSW
70+,Interval,0-12,0,2010-2012,2+,NT
70+,Interval,0-12,56,2010-2012,2+,QLD
70+,Interval,0-12,20,2010-2012,2+,SA
70+,Interval,0-12,4,2010-2012,2+,TAS
70+,Interval,0-12,30,2010-2012,2+,VIC
70+,Interval,0-12,18,2010-2012,2+,WA
70+,Interval,0-12,0,2011-2013,1,ACT
70+,Interval,0-12,2,2011-2013,1,NSW
70+,Interval,0-12,0,2011-2013,1,NT
70+,Interval,0-12,0,2011-2013,1,QLD
70+,Interval,0-12,1,2011-2013,1,SA
70+,Interval,0-12,0,2011-2013,1,TAS
70+,Interval,0-12,2,2011-2013,1,VIC
70+,Interval,0-12,0,2011-2013,1,WA
70+,Interval,0-12,5,2011-2013,2+,ACT
70+,Interval,0-12,63,2011-2013,2+,NSW
70+,Interval,0-12,0,2011-2013,2+,NT
70+,Interval,0-12,36,2011-2013,2+,QLD
70+,Interval,0-12,28,2011-2013,2+,SA
70+,Interval,0-12,4,2011-2013,2+,TAS
70+,Interval,0-12,43,2011-2013,2+,VIC
70+,Interval,0-12,20,2011-2013,2+,WA
70+,Interval,0-12,0,2012-2014,1,ACT
70+,Interval,0-12,4,2012-2014,1,NSW
70+,Interval,0-12,0,2012-2014,1,NT
70+,Interval,0-12,0,2012-2014,1,QLD
70+,Interval,0-12,1,2012-2014,1,SA
70+,Interval,0-12,0,2012-2014,1,TAS
70+,Interval,0-12,2,2012-2014,1,VIC
70+,Interval,0-12,0,2012-2014,1,WA
70+,Interval,0-12,7,2012-2014,2+,ACT
70+,Interval,0-12,71,2012-2014,2+,NSW
70+,Interval,0-12,0,2012-2014,2+,NT
70+,Interval,0-12,16,2012-2014,2+,QLD
70+,Interval,0-12,30,2012-2014,2+,SA
70+,Interval,0-12,4,2012-2014,2+,TAS
70+,Interval,0-12,46,2012-2014,2+,VIC
70+,Interval,0-12,27,2012-2014,2+,WA
70+,Interval,13-24,0,2004-2006,1,ACT
70+,Interval,13-24,6,2004-2006,1,NSW
70+,Interval,13-24,0,2004-2006,1,NT
70+,Interval,13-24,0,2004-2006,1,SA
70+,Interval,13-24,0,2004-2006,1,TAS
70+,Interval,13-24,56,2004-2006,2+,NSW
70+,Interval,13-24,0,2004-2006,2+,NT
70+,Interval,13-24,45,2004-2006,2+,QLD
70+,Interval,13-24,20,2004-2006,2+,SA
70+,Interval,13-24,7,2004-2006,2+,TAS
70+,Interval,13-24,93,2004-2006,2+,VIC
70+,Interval,13-24,10,2004-2006,2+,WA
70+,Interval,13-24,0,2005-2007,1,ACT
70+,Interval,13-24,6,2005-2007,1,NSW
70+,Interval,13-24,0,2005-2007,1,NT
70+,Interval,13-24,3,2005-2007,1,QLD
70+,Interval,13-24,0,2005-2007,1,SA
70+,Interval,13-24,0,2005-2007,1,TAS
70+,Interval,13-24,3,2005-2007,1,VIC
70+,Interval,13-24,1,2005-2007,1,WA
70+,Interval,13-24,1,2005-2007,2+,ACT
70+,Interval,13-24,32,2005-2007,2+,NSW
70+,Interval,13-24,0,2005-2007,2+,NT
70+,Interval,13-24,78,2005-2007,2+,QLD
70+,Interval,13-24,29,2005-2007,2+,SA
70+,Interval,13-24,5,2005-2007,2+,TAS
70+,Interval,13-24,109,2005-2007,2+,VIC
70+,Interval,13-24,9,2005-2007,2+,WA
70+,Interval,13-24,0,2006-2008,1,ACT
70+,Interval,13-24,6,2006-2008,1,NSW
70+,Interval,13-24,0,2006-2008,1,NT
70+,Interval,13-24,3,2006-2008,1,QLD
70+,Interval,13-24,0,2006-2008,1,SA
70+,Interval,13-24,0,2006-2008,1,TAS
70+,Interval,13-24,2,2006-2008,1,VIC
70+,Interval,13-24,0,2006-2008,1,WA
70+,Interval,13-24,0,2006-2008,2+,ACT
70+,Interval,13-24,15,2006-2008,2+,NSW
70+,Interval,13-24,0,2006-2008,2+,NT
70+,Interval,13-24,84,2006-2008,2+,QLD
70+,Interval,13-24,29,2006-2008,2+,SA
70+,Interval,13-24,5,2006-2008,2+,TAS
70+,Interval,13-24,105,2006-2008,2+,VIC
70+,Interval,13-24,17,2006-2008,2+,WA
70+,Interval,13-24,0,2007-2009,1,ACT
70+,Interval,13-24,7,2007-2009,1,NSW
70+,Interval,13-24,0,2007-2009,1,NT
70+,Interval,13-24,5,2007-2009,1,QLD
70+,Interval,13-24,0,2007-2009,1,SA
70+,Interval,13-24,0,2007-2009,1,TAS
70+,Interval,13-24,1,2007-2009,1,VIC
70+,Interval,13-24,0,2007-2009,1,WA
70+,Interval,13-24,0,2007-2009,2+,ACT
70+,Interval,13-24,36,2007-2009,2+,NSW
70+,Interval,13-24,0,2007-2009,2+,NT
70+,Interval,13-24,90,2007-2009,2+,QLD
70+,Interval,13-24,32,2007-2009,2+,SA
70+,Interval,13-24,2,2007-2009,2+,TAS
70+,Interval,13-24,100,2007-2009,2+,VIC
70+,Interval,13-24,24,2007-2009,2+,WA
70+,Interval,13-24,0,2008-2010,1,ACT
70+,Interval,13-24,7,2008-2010,1,NSW
70+,Interval,13-24,0,2008-2010,1,NT
70+,Interval,13-24,3,2008-2010,1,QLD
70+,Interval,13-24,1,2008-2010,1,SA
70+,Interval,13-24,0,2008-2010,1,TAS
70+,Interval,13-24,0,2008-2010,1,VIC
70+,Interval,13-24,0,2008-2010,1,WA
70+,Interval,13-24,0,2008-2010,2+,ACT
70+,Interval,13-24,48,2008-2010,2+,NSW
70+,Interval,13-24,0,2008-2010,2+,NT
70+,Interval,13-24,96,2008-2010,2+,QLD
70+,Interval,13-24,36,2008-2010,2+,SA
70+,Interval,13-24,5,2008-2010,2+,TAS
70+,Interval,13-24,68,2008-2010,2+,VIC
70+,Interval,13-24,23,2008-2010,2+,WA
70+,Interval,13-24,0,2009-2011,1,ACT
70+,Interval,13-24,5,2009-2011,1,NSW
70+,Interval,13-24,0,2009-2011,1,NT
70+,Interval,13-24,4,2009-2011,1,QLD
70+,Interval,13-24,0,2009-2011,1,SA
70+,Interval,13-24,0,2009-2011,1,TAS
70+,Interval,13-24,1,2009-2011,1,VIC
70+,Interval,13-24,1,2009-2011,1,WA
70+,Interval,13-24,1,2009-2011,2+,ACT
70+,Interval,13-24,53,2009-2011,2+,NSW
70+,Interval,13-24,0,2009-2011,2+,NT
70+,Interval,13-24,92,2009-2011,2+,QLD
70+,Interval,13-24,44,2009-2011,2+,SA
70+,Interval,13-24,5,2009-2011,2+,TAS
70+,Interval,13-24,62,2009-2011,2+,VIC
70+,Interval,13-24,22,2009-2011,2+,WA
70+,Interval,13-24,0,2010-2012,1,ACT
70+,Interval,13-24,4,2010-2012,1,NSW
70+,Interval,13-24,1,2010-2012,1,NT
70+,Interval,13-24,4,2010-2012,1,QLD
70+,Interval,13-24,0,2010-2012,1,SA
70+,Interval,13-24,0,2010-2012,1,TAS
70+,Interval,13-24,1,2010-2012,1,VIC
70+,Interval,13-24,3,2010-2012,1,WA
70+,Interval,13-24,2,2010-2012,2+,ACT
70+,Interval,13-24,54,2010-2012,2+,NSW
70+,Interval,13-24,1,2010-2012,2+,NT
70+,Interval,13-24,102,2010-2012,2+,QLD
70+,Interval,13-24,41,2010-2012,2+,SA
70+,Interval,13-24,6,2010-2012,2+,TAS
70+,Interval,13-24,65,2010-2012,2+,VIC
70+,Interval,13-24,24,2010-2012,2+,WA
70+,Interval,13-24,0,2012-2014,1,ACT
70+,Interval,13-24,3,2012-2014,1,NSW
70+,Interval,13-24,1,2012-2014,1,NT
70+,Interval,13-24,1,2012-2014,1,QLD
70+,Interval,13-24,0,2012-2014,1,SA
70+,Interval,13-24,0,2012-2014,1,TAS
70+,Interval,13-24,1,2012-2014,1,VIC
70+,Interval,13-24,2,2012-2014,1,WA
70+,Interval,13-24,3,2012-2014,2+,ACT
70+,Interval,13-24,89,2012-2014,2+,NSW
70+,Interval,13-24,2,2012-2014,2+,NT
70+,Interval,13-24,36,2012-2014,2+,QLD
70+,Interval,13-24,24,2012-2014,2+,SA
70+,Interval,13-24,4,2012-2014,2+,TAS
70+,Interval,13-24,92,2012-2014,2+,VIC
70+,Interval,13-24,46,2012-2014,2+,WA
70+,Interval,13–24,0,2011-2013,1,ACT
70+,Interval,13–24,3,2011-2013,1,NSW
70+,Interval,13–24,1,2011-2013,1,NT
70+,Interval,13–24,2,2011-2013,1,QLD
70+,Interval,13–24,0,2011-2013,1,SA
70+,Interval,13–24,0,2011-2013,1,TAS
70+,Interval,13–24,1,2011-2013,1,VIC
70+,Interval,13–24,3,2011-2013,1,WA
70+,Interval,13–24,3,2011-2013,2+,ACT
70+,Interval,13–24,73,2011-2013,2+,NSW
70+,Interval,13–24,1,2011-2013,2+,NT
70+,Interval,13–24,64,2011-2013,2+,QLD
70+,Interval,13–24,34,2011-2013,2+,SA
70+,Interval,13–24,4,2011-2013,2+,TAS
70+,Interval,13–24,77,2011-2013,2+,VIC
70+,Interval,13–24,27,2011-2013,2+,WA
