AGE GROUP (YEARS),Period,NUM_WOMEN,STATE
50–54,2010–2011,41592,WA
50–54,2011–2012,5274,ACT
50–54,2011–2012,106565,NSW
50–54,2011–2012,2623,NT
50–54,2011–2012,79834,QLD
50–54,2011–2012,31517,SA
50–54,2011–2012,9625,TAS
50–54,2011–2012,94453,VIC
50–54,2011–2012,42694,WA
50–54,2012–2013,5576,ACT
50–54,2012–2013,112228,NSW
50–54,2012–2013,2738,NT
50–54,2012–2013,82323,QLD
50–54,2012–2013,28863,SA
50–54,2012–2013,9769,TAS
50–54,2012–2013,97691,VIC
50–54,2012–2013,43354,WA
50–54,2013–2014,5609,ACT
50–54,2013–2014,111738,NSW
50–54,2013–2014,2589,NT
50–54,2013–2014,82490,QLD
50–54,2013–2014,28519,SA
50–54,2013–2014,9576,TAS
50–54,2013–2014,99311,VIC
50–54,2013–2014,41105,WA
50–54,2014–2015,6009,ACT
50–54,2014–2015,113378,NSW
50–54,2014–2015,2404,NT
50–54,2014–2015,82181,QLD
50–54,2014–2015,30719,SA
50–54,2014–2015,9598,TAS
50–54,2014–2015,99398,VIC
50–54,2014–2015,41671,WA
50–54,2015–2016,6422,ACT
50–54,2015–2016,119336,NSW
50–54,2015–2016,2387,NT
50–54,2015–2016,81283,QLD
50–54,2015–2016,30622,SA
50–54,2015–2016,9421,TAS
50–54,2015–2016,102345,VIC
50–54,2015–2016,42667,WA
50–54,2016-2017,6414,ACT
50–54,2016-2017,119516,NSW
50–54,2016-2017,2447,NT
50–54,2016-2017,79047,QLD
50–54,2016-2017,30409,SA
50–54,2016-2017,9478,TAS
50–54,2016-2017,102107,VIC
50–54,2016-2017,41062,WA
55–59,2008–2009,6017,ACT
55–59,2008–2009,116863,NSW
55–59,2008–2009,2315,NT
55–59,2008–2009,76658,QLD
55–59,2008–2009,30444,SA
55–59,2008–2009,9938,TAS
55–59,2008–2009,86027,VIC
55–59,2008–2009,37376,WA
55–59,2009–2010,5872,ACT
55–59,2009–2010,116697,NSW
55–59,2009–2010,2443,NT
55–59,2009–2010,76562,QLD
55–59,2009–2010,29798,SA
55–59,2009–2010,10244,TAS
55–59,2009–2010,88451,VIC
55–59,2009–2010,38856,WA
55–59,2010–2011,5775,ACT
55–59,2010–2011,113529,NSW
55–59,2010–2011,2584,NT
55–59,2010–2011,76259,QLD
55–59,2010–2011,30628,SA
55–59,2010–2011,10153,TAS
55–59,2010–2011,89756,VIC
55–59,2010–2011,39950,WA
55–59,2011–2012,5962,ACT
55–59,2011–2012,115759,NSW
55–59,2011–2012,2540,NT
55–59,2011–2012,77770,QLD
55–59,2011–2012,31132,SA
55–59,2011–2012,10309,TAS
55–59,2011–2012,90300,VIC
55–59,2011–2012,41006,WA
55–59,2012–2013,6082,ACT
55–59,2012–2013,117877,NSW
55–59,2012–2013,2604,NT
55–59,2012–2013,79014,QLD
55–59,2012–2013,28197,SA
55–59,2012–2013,10265,TAS
55–59,2012–2013,92841,VIC
55–59,2012–2013,41446,WA
55–59,2013–2014,6051,ACT
55–59,2013–2014,117469,NSW
55–59,2013–2014,2643,NT
55–59,2013–2014,80281,QLD
55–59,2013–2014,29449,SA
55–59,2013–2014,10079,TAS
55–59,2013–2014,92586,VIC
55–59,2013–2014,40108,WA
55–59,2014–2015,6207,ACT
55–59,2014–2015,120428,NSW
55–59,2014–2015,2471,NT
55–59,2014–2015,81821,QLD
55–59,2014–2015,32222,SA
55–59,2014–2015,10464,TAS
55–59,2014–2015,92952,VIC
55–59,2014–2015,40838,WA
55–59,2015–2016,6494,ACT
55–59,2015–2016,124089,NSW
55–59,2015–2016,2503,NT
55–59,2015–2016,82775,QLD
55–59,2015–2016,33144,SA
55–59,2015–2016,10781,TAS
55–59,2015–2016,94766,VIC
55–59,2015–2016,42035,WA
55–59,2016-2017,6447,ACT
55–59,2016-2017,127067,NSW
