AGE GROUP (YEARS),NUM_WOMEN,Period,Screen,STATE
55–59,1482,2013,1,QLD
55–59,440,2013,1,SA
55–59,269,2013,1,TAS
55–59,1897,2013,1,VIC
55–59,667,2013,1,WA
55–59,239,2013,2,ACT
55–59,4177,2013,2,NSW
55–59,101,2013,2,NT
55–59,2057,2013,2,QLD
55–59,576,2013,2,SA
55–59,354,2013,2,TAS
55–59,2856,2013,2,VIC
55–59,1041,2013,2,WA
55–59,2135,2013,3+,ACT
55–59,41678,2013,3+,NSW
55–59,588,2013,3+,NT
55–59,31037,2013,3+,QLD
55–59,9245,2013,3+,SA
55–59,3677,2013,3+,TAS
55–59,30628,2013,3+,VIC
55–59,13224,2013,3+,WA
55–59,160,2014,1,ACT
55–59,2354,2014,1,NSW
55–59,109,2014,1,NT
55–59,1493,2014,1,QLD
55–59,348,2014,1,SA
55–59,226,2014,1,TAS
55–59,1689,2014,1,VIC
55–59,619,2014,1,WA
55–59,271,2014,2,ACT
55–59,4011,2014,2,NSW
55–59,112,2014,2,NT
55–59,2240,2014,2,QLD
55–59,967,2014,2,SA
55–59,345,2014,2,TAS
55–59,2984,2014,2,VIC
55–59,1124,2014,2,WA
55–59,2012,2014,3+,ACT
55–59,44657,2014,3+,NSW
55–59,508,2014,3+,NT
55–59,31554,2014,3+,QLD
55–59,12918,2014,3+,SA
55–59,3647,2014,3+,TAS
55–59,30886,2014,3+,VIC
55–59,13901,2014,3+,WA
55–59,302,2015,1,ACT
55–59,2971,2015,1,NSW
55–59,80,2015,1,NT
55–59,1312,2015,1,QLD
55–59,760,2015,1,SA
55–59,252,2015,1,TAS
55–59,1798,2015,1,VIC
55–59,603,2015,1,WA
55–59,325,2015,2,ACT
55–59,5419,2015,2,NSW
55–59,128,2015,2,NT
55–59,1963,2015,2,QLD
55–59,1100,2015,2,SA
55–59,370,2015,2,TAS
55–59,3537,2015,2,VIC
55–59,1259,2015,2,WA
55–59,1984,2015,3+,ACT
55–59,43655,2015,3+,NSW
55–59,622,2015,3+,NT
55–59,31609,2015,3+,QLD
55–59,11254,2015,3+,SA
55–59,4023,2015,3+,TAS
55–59,32881,2015,3+,VIC
55–59,14613,2015,3+,WA
60–64,79,2006,1,ACT
60–64,1808,2006,1,NSW
60–64,28,2006,1,NT
60–64,1084,2006,1,QLD
60–64,140,2006,1,SA
60–64,131,2006,1,TAS
60–64,509,2006,1,VIC
60–64,317,2006,1,WA
60–64,57,2006,2,ACT
60–64,2165,2006,2,NSW
60–64,32,2006,2,NT
60–64,1522,2006,2,QLD
60–64,212,2006,2,SA
60–64,136,2006,2,TAS
60–64,720,2006,2,VIC
60–64,527,2006,2,WA
60–64,1521,2006,3+,ACT
60–64,29214,2006,3+,NSW
60–64,413,2006,3+,NT
60–64,22245,2006,3+,QLD
60–64,9423,2006,3+,SA
60–64,2757,2006,3+,TAS
60–64,23064,2006,3+,VIC
60–64,11185,2006,3+,WA
60–64,147,2007,1,ACT
60–64,3394,2007,1,NSW
60–64,22,2007,1,NT
60–64,1164,2007,1,QLD
60–64,183,2007,1,SA
60–64,139,2007,1,TAS
60–64,471,2007,1,VIC
60–64,303,2007,1,WA
60–64,192,2007,2,ACT
60–64,2563,2007,2,NSW
60–64,40,2007,2,NT
60–64,1688,2007,2,QLD
60–64,246,2007,2,SA
60–64,196,2007,2,TAS
60–64,769,2007,2,VIC
60–64,460,2007,2,WA
60–64,3155,2007,3+,ACT
60–64,31365,2007,3+,NSW
60–64,480,2007,3+,NT
60–64,23426,2007,3+,QLD
60–64,10562,2007,3+,SA
60–64,3129,2007,3+,TAS
60–64,26555,2007,3+,VIC
60–64,10128,2007,3+,WA
60–64,123,2008,1,ACT
60–64,2870,2008,1,NSW
60–64,39,2008,1,NT
60–64,1273,2008,1,QLD
60–64,205,2008,1,SA
60–64,181,2008,1,TAS
60–64,702,2008,1,VIC
60–64,399,2008,1,WA
60–64,210,2008,2,ACT
60–64,6899,2008,2,NSW
60–64,42,2008,2,NT
60–64,1552,2008,2,QLD
60–64,275,2008,2,SA
60–64,203,2008,2,TAS
60–64,1043,2008,2,VIC
60–64,477,2008,2,WA
60–64,2985,2008,3+,ACT
60–64,33879,2008,3+,NSW
60–64,534,2008,3+,NT
60–64,27073,2008,3+,QLD
60–64,12123,2008,3+,SA
60–64,3880,2008,3+,TAS
60–64,28286,2008,3+,VIC
60–64,12950,2008,3+,WA
60–64,77,2009,1,ACT
60–64,2708,2009,1,NSW
60–64,37,2009,1,NT
60–64,1121,2009,1,QLD
60–64,209,2009,1,SA
60–64,155,2009,1,TAS
60–64,808,2009,1,VIC
60–64,425,2009,1,WA
60–64,121,2009,2,ACT
60–64,6227,2009,2,NSW
60–64,50,2009,2,NT
60–64,1497,2009,2,QLD
60–64,305,2009,2,SA
60–64,209,2009,2,TAS
60–64,952,2009,2,VIC
60–64,576,2009,2,WA
60–64,2905,2009,3+,ACT
60–64,36637,2009,3+,NSW
60–64,598,2009,3+,NT
60–64,27945,2009,3+,QLD
60–64,12178,2009,3+,SA
60–64,4128,2009,3+,TAS
60–64,34327,2009,3+,VIC
60–64,13772,2009,3+,WA
60–64,46,2010,1,ACT
60–64,2050,2010,1,NSW
60–64,39,2010,1,NT
60–64,1041,2010,1,QLD
60–64,195,2010,1,SA
60–64,167,2010,1,TAS
60–64,821,2010,1,VIC
60–64,399,2010,1,WA
60–64,87,2010,2,ACT
60–64,2793,2010,2,NSW
60–64,44,2010,2,NT
60–64,1562,2010,2,QLD
60–64,279,2010,2,SA
60–64,212,2010,2,TAS
60–64,1156,2010,2,VIC
60–64,624,2010,2,WA
60–64,2259,2010,3+,ACT
60–64,41601,2010,3+,NSW
60–64,601,2010,3+,NT
60–64,29107,2010,3+,QLD
60–64,12022,2010,3+,SA
60–64,4231,2010,3+,TAS
60–64,34349,2010,3+,VIC
60–64,15995,2010,3+,WA
60–64,71,2011,1,ACT
60–64,2092,2011,1,NSW
60–64,36,2011,1,NT
60–64,942,2011,1,QLD
60–64,151,2011,1,SA
60–64,205,2011,1,TAS
60–64,731,2011,1,VIC
60–64,378,2011,1,WA
60–64,97,2011,2,ACT
60–64,2448,2011,2,NSW
60–64,37,2011,2,NT
60–64,1423,2011,2,QLD
60–64,259,2011,2,SA
60–64,216,2011,2,TAS
60–64,1128,2011,2,VIC
60–64,565,2011,2,WA
60–64,2627,2011,3+,ACT
60–64,44595,2011,3+,NSW
60–64,582,2011,3+,NT
60–64,29996,2011,3+,QLD
60–64,10586,2011,3+,SA
60–64,4271,2011,3+,TAS
60–64,34306,2011,3+,VIC
60–64,15112,2011,3+,WA
60–64,56,2012,1,ACT
60–64,1479,2012,1,NSW
60–64,38,2012,1,NT
60–64,1048,2012,1,QLD
60–64,202,2012,1,SA
60–64,151,2012,1,TAS
60–64,838,2012,1,VIC
60–64,348,2012,1,WA
60–64,115,2012,2,ACT
60–64,2261,2012,2,NSW
60–64,52,2012,2,NT
60–64,1438,2012,2,QLD
60–64,327,2012,2,SA
60–64,217,2012,2,TAS
60–64,1094,2012,2,VIC
60–64,473,2012,2,WA
60–64,2347,2012,3+,ACT
60–64,45841,2012,3+,NSW
60–64,550,2012,3+,NT
60–64,30476,2012,3+,QLD
60–64,11888,2012,3+,SA
60–64,4233,2012,3+,TAS
60–64,32069,2012,3+,VIC
60–64,14588,2012,3+,WA
60–64,77,2013,1,ACT
60–64,1565,2013,1,NSW
60–64,35,2013,1,NT
60–64,1059,2013,1,QLD
60–64,189,2013,1,SA
60–64,176,2013,1,TAS
60–64,956,2013,1,VIC
60–64,352,2013,1,WA
60–64,94,2013,2,ACT
60–64,2425,2013,2,NSW
60–64,54,2013,2,NT
60–64,1232,2013,2,QLD
60–64,256,2013,2,SA
60–64,239,2013,2,TAS
60–64,1109,2013,2,VIC
60–64,446,2013,2,WA
60–64,2561,2013,3+,ACT
60–64,46162,2013,3+,NSW
60–64,561,2013,3+,NT
60–64,31107,2013,3+,QLD
60–64,10882,2013,3+,SA
60–64,4179,2013,3+,TAS
60–64,34517,2013,3+,VIC
60–64,13880,2013,3+,WA
60–64,74,2014,1,ACT
60–64,1261,2014,1,NSW
60–64,41,2014,1,NT
60–64,995,2014,1,QLD
60–64,197,2014,1,SA
60–64,154,2014,1,TAS
60–64,914,2014,1,VIC
60–64,313,2014,1,WA
60–64,87,2014,2,ACT
60–64,1958,2014,2,NSW
60–64,37,2014,2,NT
60–64,1303,2014,2,QLD
60–64,390,2014,2,SA
60–64,159,2014,2,TAS
60–64,1275,2014,2,VIC
60–64,505,2014,2,WA
60–64,2353,2014,3+,ACT
60–64,48810,2014,3+,NSW
60–64,545,2014,3+,NT
60–64,31004,2014,3+,QLD
60–64,14926,2014,3+,SA
60–64,4184,2014,3+,TAS
60–64,34416,2014,3+,VIC
60–64,15165,2014,3+,WA
60–64,139,2015,1,ACT
60–64,1436,2015,1,NSW
60–64,58,2015,1,NT
60–64,834,2015,1,QLD
60–64,404,2015,1,SA
60–64,170,2015,1,TAS
60–64,956,2015,1,VIC
60–64,373,2015,1,WA
60–64,119,2015,2,ACT
60–64,2152,2015,2,NSW
60–64,51,2015,2,NT
60–64,1192,2015,2,QLD
60–64,497,2015,2,SA
60–64,191,2015,2,TAS
60–64,1593,2015,2,VIC
60–64,553,2015,2,WA
60–64,2415,2015,3+,ACT
60–64,50360,2015,3+,NSW
60–64,628,2015,3+,NT
60–64,30853,2015,3+,QLD
60–64,12634,2015,3+,SA
60–64,4474,2015,3+,TAS
60–64,36305,2015,3+,VIC
60–64,15814,2015,3+,WA
65–69,29,2006,1,ACT
65–69,821,2006,1,NSW
65–69,10,2006,1,NT
65–69,733,2006,1,QLD
65–69,60,2006,1,SA
65–69,74,2006,1,TAS
65–69,253,2006,1,VIC
65–69,187,2006,1,WA
65–69,30,2006,2,ACT
65–69,1047,2006,2,NSW
65–69,10,2006,2,NT
65–69,1030,2006,2,QLD
65–69,92,2006,2,SA
65–69,97,2006,2,TAS
65–69,341,2006,2,VIC
65–69,284,2006,2,WA
65–69,852,2006,3+,ACT
65–69,17374,2006,3+,NSW
65–69,140,2006,3+,NT
65–69,17325,2006,3+,QLD
65–69,6079,2006,3+,SA
65–69,1849,2006,3+,TAS
65–69,15416,2006,3+,VIC
65–69,7157,2006,3+,WA
65–69,66,2007,1,ACT
65–69,1625,2007,1,NSW
65–69,18,2007,1,NT
65–69,665,2007,1,QLD
65–69,70,2007,1,SA
65–69,70,2007,1,TAS
65–69,207,2007,1,VIC
65–69,139,2007,1,WA
65–69,87,2007,2,ACT
65–69,1153,2007,2,NSW
65–69,20,2007,2,NT
65–69,1053,2007,2,QLD
65–69,115,2007,2,SA
65–69,84,2007,2,TAS
65–69,301,2007,2,VIC
65–69,220,2007,2,WA
65–69,1836,2007,3+,ACT
65–69,18214,2007,3+,NSW
65–69,229,2007,3+,NT
65–69,17547,2007,3+,QLD
65–69,6238,2007,3+,SA
65–69,1927,2007,3+,TAS
65–69,14611,2007,3+,VIC
65–69,6382,2007,3+,WA
65–69,39,2008,1,ACT
65–69,1244,2008,1,NSW
65–69,9,2008,1,NT
65–69,712,2008,1,QLD
65–69,73,2008,1,SA
65–69,71,2008,1,TAS
65–69,281,2008,1,VIC
65–69,156,2008,1,WA
65–69,88,2008,2,ACT
65–69,3413,2008,2,NSW
65–69,11,2008,2,NT
65–69,920,2008,2,QLD
65–69,85,2008,2,SA
65–69,83,2008,2,TAS
65–69,465,2008,2,VIC
65–69,223,2008,2,WA
65–69,1695,2008,3+,ACT
65–69,19682,2008,3+,NSW
65–69,198,2008,3+,NT
65–69,19758,2008,3+,QLD
65–69,6886,2008,3+,SA
65–69,2046,2008,3+,TAS
65–69,15419,2008,3+,VIC
65–69,7659,2008,3+,WA
65–69,23,2009,1,ACT
65–69,1211,2009,1,NSW
65–69,13,2009,1,NT
65–69,608,2009,1,QLD
65–69,75,2009,1,SA
65–69,70,2009,1,TAS
65–69,324,2009,1,VIC
65–69,222,2009,1,WA
65–69,44,2009,2,ACT
65–69,2937,2009,2,NSW
65–69,22,2009,2,NT
65–69,899,2009,2,QLD
65–69,102,2009,2,SA
65–69,90,2009,2,TAS
65–69,389,2009,2,VIC
65–69,225,2009,2,WA
65–69,1595,2009,3+,ACT
65–69,21848,2009,3+,NSW
65–69,283,2009,3+,NT
65–69,20524,2009,3+,QLD
65–69,7087,2009,3+,SA
65–69,2213,2009,3+,TAS
65–69,18176,2009,3+,VIC
65–69,7863,2009,3+,WA
65–69,21,2010,1,ACT
65–69,943,2010,1,NSW
65–69,8,2010,1,NT
65–69,638,2010,1,QLD
65–69,69,2010,1,SA
65–69,66,2010,1,TAS
65–69,291,2010,1,VIC
65–69,173,2010,1,WA
65–69,23,2010,2,ACT
65–69,1320,2010,2,NSW
65–69,10,2010,2,NT
65–69,875,2010,2,QLD
65–69,108,2010,2,SA
65–69,84,2010,2,TAS
65–69,382,2010,2,VIC
65–69,242,2010,2,WA
65–69,1226,2010,3+,ACT
65–69,25054,2010,3+,NSW
65–69,278,2010,3+,NT
65–69,21751,2010,3+,QLD
65–69,7368,2010,3+,SA
65–69,2313,2010,3+,TAS
65–69,18668,2010,3+,VIC
65–69,8979,2010,3+,WA
65–69,16,2011,1,ACT
65–69,1083,2011,1,NSW
65–69,7,2011,1,NT
65–69,544,2011,1,QLD
65–69,77,2011,1,SA
65–69,72,2011,1,TAS
65–69,295,2011,1,VIC
65–69,154,2011,1,WA
65–69,35,2011,2,ACT
65–69,1133,2011,2,NSW
65–69,15,2011,2,NT
65–69,831,2011,2,QLD
65–69,111,2011,2,SA
65–69,88,2011,2,TAS
65–69,428,2011,2,VIC
65–69,275,2011,2,WA
65–69,1588,2011,3+,ACT
65–69,29509,2011,3+,NSW
65–69,269,2011,3+,NT
65–69,23474,2011,3+,QLD
65–69,7037,2011,3+,SA
65–69,2475,2011,3+,TAS
65–69,20300,2011,3+,VIC
65–69,8800,2011,3+,WA
65–69,25,2012,1,ACT
65–69,813,2012,1,NSW
65–69,11,2012,1,NT
65–69,661,2012,1,QLD
65–69,113,2012,1,SA
65–69,88,2012,1,TAS
65–69,407,2012,1,VIC
65–69,155,2012,1,WA
65–69,28,2012,2,ACT
65–69,1283,2012,2,NSW
65–69,11,2012,2,NT
65–69,879,2012,2,QLD
65–69,132,2012,2,SA
65–69,121,2012,2,TAS
65–69,562,2012,2,VIC
65–69,230,2012,2,WA
65–69,1643,2012,3+,ACT
65–69,35764,2012,3+,NSW
65–69,301,2012,3+,NT
65–69,25447,2012,3+,QLD
65–69,9198,2012,3+,SA
65–69,3694,2012,3+,TAS
65–69,23772,2012,3+,VIC
65–69,11335,2012,3+,WA
65–69,38,2013,1,ACT
65–69,1022,2013,1,NSW
65–69,17,2013,1,NT
65–69,660,2013,1,QLD
65–69,114,2013,1,SA
65–69,89,2013,1,TAS
65–69,501,2013,1,VIC
65–69,174,2013,1,WA
65–69,49,2013,2,ACT
65–69,1653,2013,2,NSW
65–69,15,2013,2,NT
65–69,814,2013,2,QLD
65–69,137,2013,2,SA
65–69,121,2013,2,TAS
65–69,597,2013,2,VIC
65–69,242,2013,2,WA
65–69,2187,2013,3+,ACT
65–69,40759,2013,3+,NSW
65–69,325,2013,3+,NT
65–69,27305,2013,3+,QLD
65–69,9449,2013,3+,SA
65–69,3774,2013,3+,TAS
65–69,30767,2013,3+,VIC
65–69,11668,2013,3+,WA
65–69,43,2014,1,ACT
65–69,870,2014,1,NSW
65–69,15,2014,1,NT
65–69,718,2014,1,QLD
65–69,124,2014,1,SA
65–69,86,2014,1,TAS
65–69,552,2014,1,VIC
65–69,208,2014,1,WA
65–69,41,2014,2,ACT
65–69,1374,2014,2,NSW
65–69,18,2014,2,NT
65–69,834,2014,2,QLD
65–69,252,2014,2,SA
65–69,108,2014,2,TAS
65–69,693,2014,2,VIC
65–69,280,2014,2,WA
65–69,2130,2014,3+,ACT
65–69,45056,2014,3+,NSW
65–69,446,2014,3+,NT
65–69,28571,2014,3+,QLD
65–69,13997,2014,3+,SA
65–69,4006,2014,3+,TAS
65–69,31093,2014,3+,VIC
65–69,13685,2014,3+,WA
65–69,75,2015,1,ACT
65–69,951,2015,1,NSW
65–69,13,2015,1,NT
65–69,689,2015,1,QLD
65–69,255,2015,1,SA
65–69,145,2015,1,TAS
65–69,612,2015,1,VIC
65–69,222,2015,1,WA
65–69,55,2015,2,ACT
65–69,1517,2015,2,NSW
65–69,16,2015,2,NT
65–69,851,2015,2,QLD
65–69,280,2015,2,SA
65–69,136,2015,2,TAS
65–69,848,2015,2,VIC
65–69,368,2015,2,WA
65–69,2380,2015,3+,ACT
65–69,47368,2015,3+,NSW
65–69,464,2015,3+,NT
65–69,29100,2015,3+,QLD
65–69,12201,2015,3+,SA
65–69,4405,2015,3+,TAS
65–69,34617,2015,3+,VIC
65–69,14406,2015,3+,WA
70+,3,2006,1,ACT
70+,115,2006,1,NSW
70+,298,2006,1,QLD
70+,22,2006,1,SA
70+,12,2006,1,TAS
70+,64,2006,1,VIC
70+,59,2006,1,WA
70+,4,2006,2,ACT
70+,130,2006,2,NSW
70+,493,2006,2,QLD
70+,32,2006,2,SA
70+,22,2006,2,TAS
70+,109,2006,2,VIC
70+,71,2006,2,WA
70+,186,2006,3+,ACT
70+,3385,2006,3+,NSW
70+,14,2006,3+,NT
70+,12554,2006,3+,QLD
70+,2655,2006,3+,SA
70+,604,2006,3+,TAS
70+,6038,2006,3+,VIC
70+,2333,2006,3+,WA
70+,6,2007,1,ACT
70+,250,2007,1,NSW
70+,227,2007,1,QLD
70+,14,2007,1,SA
70+,13,2007,1,TAS
70+,46,2007,1,VIC
70+,37,2007,1,WA
70+,8,2007,2,ACT
70+,149,2007,2,NSW
70+,483,2007,2,QLD
70+,32,2007,2,SA
70+,9,2007,2,TAS
70+,47,2007,2,VIC
70+,69,2007,2,WA
70+,454,2007,3+,ACT
70+,3758,2007,3+,NSW
70+,20,2007,3+,NT
70+,12972,2007,3+,QLD
70+,2816,2007,3+,SA
70+,466,2007,3+,TAS
70+,4165,2007,3+,VIC
70+,2142,2007,3+,WA
70+,12,2008,1,ACT
70+,165,2008,1,NSW
70+,0,2008,1,NT
70+,282,2008,1,QLD
70+,20,2008,1,SA
70+,15,2008,1,TAS
70+,54,2008,1,VIC
70+,37,2008,1,WA
70+,17,2008,2,ACT
70+,511,2008,2,NSW
70+,3,2008,2,NT
70+,408,2008,2,QLD
70+,25,2008,2,SA
70+,14,2008,2,TAS
70+,92,2008,2,VIC
70+,62,2008,2,WA
70+,397,2008,3+,ACT
70+,4195,2008,3+,NSW
70+,22,2008,3+,NT
70+,14242,2008,3+,QLD
70+,2994,2008,3+,SA
70+,380,2008,3+,TAS
70+,3604,2008,3+,VIC
70+,2590,2008,3+,WA
70+,10,2009,1,ACT
70+,204,2009,1,NSW
70+,2,2009,1,NT
70+,277,2009,1,QLD
70+,12,2009,1,SA
70+,8,2009,1,TAS
70+,37,2009,1,VIC
70+,43,2009,1,WA
70+,5,2009,2,ACT
70+,412,2009,2,NSW
70+,0,2009,2,NT
70+,379,2009,2,QLD
70+,21,2009,2,SA
70+,9,2009,2,TAS
70+,63,2009,2,VIC
70+,55,2009,2,WA
70+,377,2009,3+,ACT
70+,4918,2009,3+,NSW
70+,28,2009,3+,NT
70+,14888,2009,3+,QLD
70+,2934,2009,3+,SA
70+,425,2009,3+,TAS
70+,3698,2009,3+,VIC
70+,2588,2009,3+,WA
70+,10,2010,1,ACT
70+,121,2010,1,NSW
70+,1,2010,1,NT
70+,244,2010,1,QLD
70+,23,2010,1,SA
70+,12,2010,1,TAS
70+,43,2010,1,VIC
70+,46,2010,1,WA
70+,2,2010,2,ACT
70+,168,2010,2,NSW
70+,0,2010,2,NT
70+,369,2010,2,QLD
70+,30,2010,2,SA
70+,13,2010,2,TAS
70+,62,2010,2,VIC
70+,48,2010,2,WA
70+,330,2010,3+,ACT
70+,5592,2010,3+,NSW
70+,24,2010,3+,NT
70+,15772,2010,3+,QLD
70+,3597,2010,3+,SA
70+,431,2010,3+,TAS
70+,4422,2010,3+,VIC
70+,3134,2010,3+,WA
70+,3,2011,1,ACT
70+,210,2011,1,NSW
70+,1,2011,1,NT
70+,211,2011,1,QLD
70+,20,2011,1,SA
70+,5,2011,1,TAS
70+,62,2011,1,VIC
70+,37,2011,1,WA
70+,6,2011,2,ACT
70+,170,2011,2,NSW
70+,3,2011,2,NT
70+,376,2011,2,QLD
70+,29,2011,2,SA
70+,6,2011,2,TAS
70+,59,2011,2,VIC
70+,65,2011,2,WA
70+,414,2011,3+,ACT
70+,7067,2011,3+,NSW
70+,48,2011,3+,NT
70+,16498,2011,3+,QLD
70+,3652,2011,3+,SA
70+,514,2011,3+,TAS
70+,4652,2011,3+,VIC
70+,3090,2011,3+,WA
70+,5,2012,1,ACT
70+,131,2012,1,NSW
70+,1,2012,1,NT
70+,203,2012,1,QLD
70+,24,2012,1,SA
70+,12,2012,1,TAS
70+,92,2012,1,VIC
70+,67,2012,1,WA
70+,4,2012,2,ACT
70+,180,2012,2,NSW
70+,2,2012,2,NT
70+,337,2012,2,QLD
70+,29,2012,2,SA
70+,15,2012,2,TAS
70+,108,2012,2,VIC
70+,72,2012,2,WA
70+,418,2012,3+,ACT
70+,8776,2012,3+,NSW
70+,43,2012,3+,NT
70+,17659,2012,3+,QLD
70+,4293,2012,3+,SA
70+,575,2012,3+,TAS
70+,7056,2012,3+,VIC
70+,4351,2012,3+,WA
70+,15,2013,1,ACT
70+,220,2013,1,NSW
70+,7,2013,1,NT
70+,248,2013,1,QLD
70+,35,2013,1,SA
70+,21,2013,1,TAS
70+,130,2013,1,VIC
70+,65,2013,1,WA
70+,8,2013,2,ACT
70+,384,2013,2,NSW
70+,6,2013,2,NT
70+,316,2013,2,QLD
70+,38,2013,2,SA
70+,17,2013,2,TAS
70+,150,2013,2,VIC
70+,83,2013,2,WA
70+,761,2013,3+,ACT
70+,17108,2013,3+,NSW
70+,115,2013,3+,NT
70+,18719,2013,3+,QLD
70+,4929,2013,3+,SA
70+,723,2013,3+,TAS
70+,10261,2013,3+,VIC
70+,4526,2013,3+,WA
70–74,14,2014,1,ACT
70–74,159,2014,1,NSW
70–74,4,2014,1,NT
70–74,206,2014,1,QLD
70–74,24,2014,1,SA
70–74,31,2014,1,TAS
70–74,304,2014,1,VIC
70–74,89,2014,1,WA
70–74,17,2014,2,ACT
70–74,479,2014,2,NSW
70–74,3,2014,2,NT
70–74,317,2014,2,QLD
70–74,60,2014,2,SA
70–74,52,2014,2,TAS
70–74,187,2014,2,VIC
70–74,135,2014,2,WA
70–74,910,2014,3+,ACT
70–74,18682,2014,3+,NSW
70–74,100,2014,3+,NT
70–74,16550,2014,3+,QLD
70–74,5786,2014,3+,SA
70–74,2182,2014,3+,TAS
70–74,13146,2014,3+,VIC
70–74,8209,2014,3+,WA
70–74,17,2015,1,ACT
70–74,235,2015,1,NSW
70–74,8,2015,1,NT
70–74,251,2015,1,QLD
70–74,93,2015,1,SA
70–74,35,2015,1,TAS
70–74,192,2015,1,VIC
70–74,106,2015,1,WA
70–74,17,2015,2,ACT
70–74,467,2015,2,NSW
70–74,9,2015,2,NT
70–74,313,2015,2,QLD
70–74,113,2015,2,SA
70–74,43,2015,2,TAS
70–74,229,2015,2,VIC
70–74,120,2015,2,WA
70–74,1131,2015,3+,ACT
70–74,24666,2015,3+,NSW
70–74,156,2015,3+,NT
70–74,17460,2015,3+,QLD
70–74,6576,2015,3+,SA
70–74,1738,2015,3+,TAS
70–74,15542,2015,3+,VIC
70–74,6569,2015,3+,WA
75+,0,2014,1,ACT
75+,21,2014,1,NSW
75+,2,2014,1,NT
75+,48,2014,1,QLD
75+,8,2014,1,SA
75+,1,2014,1,TAS
75+,28,2014,1,VIC
75+,22,2014,1,WA
75+,1,2014,2,ACT
75+,33,2014,2,NSW
75+,0,2014,2,NT
75+,54,2014,2,QLD
75+,11,2014,2,SA
75+,1,2014,2,TAS
75+,37,2014,2,VIC
75+,32,2014,2,WA
75+,119,2014,3+,ACT
75+,2815,2014,3+,NSW
75+,24,2014,3+,NT
75+,3315,2014,3+,QLD
75+,1789,2014,3+,SA
75+,104,2014,3+,TAS
75+,2242,2014,3+,VIC
75+,1682,2014,3+,WA
75+,2,2015,1,ACT
75+,24,2015,1,NSW
75+,1,2015,1,NT
75+,46,2015,1,QLD
75+,3,2015,1,SA
75+,2,2015,1,TAS
75+,11,2015,1,VIC
75+,27,2015,1,WA
75+,1,2015,2,ACT
75+,47,2015,2,NSW
75+,2,2015,2,NT
75+,53,2015,2,QLD
75+,13,2015,2,SA
75+,2,2015,2,TAS
75+,28,2015,2,VIC
75+,29,2015,2,WA
75+,141,2015,3+,ACT
75+,3189,2015,3+,NSW
75+,25,2015,3+,NT
75+,3686,2015,3+,QLD
75+,1689,2015,3+,SA
75+,71,2015,3+,TAS
75+,2167,2015,3+,VIC
75+,1781,2015,3+,WA
