AGE GROUP (YEARS),Period,STATE,Cancer,NUM_WOMEN
30–34,2005–2009,TAS,Invasive,13
30–34,2005–2009,VIC,Invasive,221
30–34,2005–2009,WA,Invasive,98
30–34,2006–2010,ACT,Invasive,18
30–34,2006–2010,NSW,Invasive,308
30–34,2006–2010,NT,Invasive,10
30–34,2006–2010,QLD,Invasive,194
30–34,2006–2010,SA,Invasive,64
30–34,2006–2010,TAS,Invasive,17
30–34,2006–2010,VIC,Invasive,224
30–34,2006–2010,WA,Invasive,98
30–34,2008–2012,ACT,Invasive,26
30–34,2008–2012,NSW,Invasive,299
30–34,2008–2012,NT,Invasive,10
30–34,2008–2012,QLD,Invasive,223
30–34,2008–2012,SA,Invasive,62
30–34,2008–2012,TAS,Invasive,19
30–34,2008–2012,VIC,Invasive,249
30–34,2008–2012,WA,Invasive,100
30–34,2009–2013,ACT,Invasive,22
30–34,2009–2013,NSW,Invasive,310
30–34,2009–2013,NT,Invasive,9
30–34,2009–2013,QLD,Invasive,215
30–34,2009–2013,SA,Invasive,59
30–34,2009–2013,TAS,Invasive,18
30–34,2009–2013,VIC,Invasive,277
30–34,2009–2013,WA,Invasive,106
30–34,2010–2014,ACT,Invasive,19
30–34,2010–2014,NSW,Invasive,341
30–34,2010–2014,QLD,Invasive,206
30–34,2010–2014,SA,Invasive,68
30–34,2010–2014,VIC,Invasive,296
30–34,2010–2014,WA,Invasive,117
30-39,2004–2008,ACT,Invasive,62
30-39,2004–2008,NSW,Invasive,1102
30-39,2004–2008,NT,Invasive,36
30-39,2004–2008,QLD,Invasive,648
30-39,2004–2008,SA,Invasive,246
30-39,2004–2008,TAS,Invasive,60
30-39,2004–2008,VIC,Invasive,836
30-39,2004–2008,WA,Invasive,306
30–39,1999–2003,ACT,Invasive,54
30–39,1999–2003,NSW,Invasive,1070
30–39,1999–2003,NT,Invasive,25
30–39,1999–2003,QLD,Invasive,594
30–39,1999–2003,SA,Invasive,242
30–39,1999–2003,TAS,Invasive,68
30–39,1999–2003,VIC,Invasive,820
30–39,1999–2003,WA,Invasive,317
35–39,1998–2002,ACT,Invasive,36
35–39,1998–2002,NSW,Invasive,745
35–39,1998–2002,NT,Invasive,15
35–39,1998–2002,QLD,Invasive,409
35–39,1998–2002,SA,Invasive,174
35–39,1998–2002,TAS,Invasive,46
35–39,1998–2002,VIC,Invasive,548
35–39,1998–2002,WA,Invasive,221
35–39,2003–2007,ACT,Invasive,44
35–39,2003–2007,NSW,Invasive,768
35–39,2003–2007,NT,Invasive,30
35–39,2003–2007,QLD,Invasive,427
35–39,2003–2007,SA,Invasive,167
35–39,2003–2007,TAS,Invasive,45
35–39,2003–2007,VIC,Invasive,608
35–39,2003–2007,WA,Invasive,202
35–39,2005–2009,ACT,Invasive,58
35–39,2005–2009,NSW,Invasive,769
35–39,2005–2009,NT,Invasive,29
35–39,2005–2009,QLD,Invasive,468
35–39,2005–2009,SA,Invasive,170
35–39,2005–2009,TAS,Invasive,48
35–39,2005–2009,VIC,Invasive,616
35–39,2005–2009,WA,Invasive,224
35–39,2006–2010,ACT,Invasive,58
35–39,2006–2010,NSW,Invasive,776
35–39,2006–2010,NT,Invasive,25
35–39,2006–2010,QLD,Invasive,472
35–39,2006–2010,SA,Invasive,179
35–39,2006–2010,TAS,Invasive,47
35–39,2006–2010,VIC,Invasive,600
35–39,2006–2010,WA,Invasive,248
35–39,2008–2012,ACT,Invasive,54
35–39,2008–2012,NSW,Invasive,766
35–39,2008–2012,NT,Invasive,22
35–39,2008–2012,QLD,Invasive,503
35–39,2008–2012,SA,Invasive,175
35–39,2008–2012,TAS,Invasive,49
35–39,2008–2012,VIC,Invasive,616
35–39,2008–2012,WA,Invasive,271
35–39,2009–2013,ACT,Invasive,56
35–39,2009–2013,NSW,Invasive,772
35–39,2009–2013,NT,Invasive,21
35–39,2009–2013,QLD,Invasive,504
35–39,2009–2013,SA,Invasive,165
35–39,2009–2013,TAS,Invasive,45
35–39,2009–2013,VIC,Invasive,618
35–39,2009–2013,WA,Invasive,274
