AGE GROUP (YEARS),Period,STATE,Cancer,NUM_WOMEN
65–69,2010–2014,QLD,Invasive,2110
65–69,2010–2014,SA,Invasive,794
65–69,2010–2014,TAS,Invasive,264
65–69,2010–2014,VIC,Invasive,2425
65–69,2010–2014,WA,Invasive,923
70–74,1998–2002,ACT,Invasive,58
70–74,1998–2002,NSW,Invasive,1916
70–74,1998–2002,NT,Invasive,14
70–74,1998–2002,QLD,Invasive,965
70–74,1998–2002,SA,Invasive,393
70–74,1998–2002,TAS,Invasive,146
70–74,1998–2002,VIC,Invasive,1438
70–74,1998–2002,WA,Invasive,375
70–74,1999–2003,ACT,Invasive,56
70–74,1999–2003,NSW,Invasive,1884
70–74,1999–2003,NT,Invasive,12
70–74,1999–2003,QLD,Invasive,967
70–74,1999–2003,SA,Invasive,384
70–74,1999–2003,TAS,Invasive,138
70–74,1999–2003,VIC,Invasive,1362
70–74,1999–2003,WA,Invasive,382
70–74,2003–2007,ACT,Invasive,61
70–74,2003–2007,NSW,Invasive,1616
70–74,2003–2007,NT,Invasive,8
70–74,2003–2007,QLD,Invasive,953
70–74,2003–2007,SA,Invasive,388
70–74,2003–2007,TAS,Invasive,125
70–74,2003–2007,VIC,Invasive,1276
70–74,2003–2007,WA,Invasive,396
70–74,2004–2008,ACT,Invasive,61
70–74,2004–2008,NSW,Invasive,1615
70–74,2004–2008,NT,Invasive,14
70–74,2004–2008,QLD,Invasive,993
70–74,2004–2008,SA,Invasive,414
70–74,2004–2008,TAS,Invasive,126
70–74,2004–2008,VIC,Invasive,1306
70–74,2004–2008,WA,Invasive,416
70–74,2005–2009,ACT,Invasive,54
70–74,2005–2009,NSW,Invasive,1605
70–74,2005–2009,NT,Invasive,15
70–74,2005–2009,QLD,Invasive,1066
70–74,2005–2009,SA,Invasive,418
70–74,2005–2009,TAS,Invasive,113
70–74,2005–2009,VIC,Invasive,1320
70–74,2005–2009,WA,Invasive,434
70–74,2006–2010,ACT,Invasive,58
70–74,2006–2010,NSW,Invasive,1702
70–74,2006–2010,NT,Invasive,16
70–74,2006–2010,QLD,Invasive,1130
70–74,2006–2010,SA,Invasive,452
70–74,2006–2010,TAS,Invasive,106
70–74,2006–2010,VIC,Invasive,1310
70–74,2006–2010,WA,Invasive,470
70–74,2008–2012,ACT,Invasive,82
70–74,2008–2012,NSW,Invasive,1866
70–74,2008–2012,NT,Invasive,20
70–74,2008–2012,QLD,Invasive,1273
70–74,2008–2012,SA,Invasive,520
70–74,2008–2012,TAS,Invasive,129
70–74,2008–2012,VIC,Invasive,1354
70–74,2008–2012,WA,Invasive,557
70–74,2009–2013,ACT,Invasive,94
70–74,2009–2013,NSW,Invasive,2087
70–74,2009–2013,NT,Invasive,21
70–74,2009–2013,QLD,Invasive,1353
70–74,2009–2013,SA,Invasive,551
70–74,2009–2013,TAS,Invasive,144
70–74,2009–2013,VIC,Invasive,1438
70–74,2009–2013,WA,Invasive,571
70–74,2010–2014,ACT,Invasive,106
70–74,2010–2014,NSW,Invasive,2350
70–74,2010–2014,NT,Invasive,27
70–74,2010–2014,QLD,Invasive,1474
70–74,2010–2014,SA,Invasive,611
70–74,2010–2014,TAS,Invasive,181
70–74,2010–2014,VIC,Invasive,1606
70–74,2010–2014,WA,Invasive,690
75–79,1998–2002,ACT,Invasive,49
75–79,1998–2002,NSW,Invasive,1567
75–79,1998–2002,NT,Invasive,11
75–79,1998–2002,QLD,Invasive,739
75–79,1998–2002,SA,Invasive,419
75–79,1998–2002,TAS,Invasive,112
75–79,1998–2002,VIC,Invasive,1183
75–79,1998–2002,WA,Invasive,376
75–79,1999–2003,ACT,Invasive,56
75–79,1999–2003,NSW,Invasive,1614
75–79,1999–2003,NT,Invasive,9
75–79,1999–2003,QLD,Invasive,734
75–79,1999–2003,SA,Invasive,414
75–79,1999–2003,TAS,Invasive,116
75–79,1999–2003,VIC,Invasive,1188
75–79,1999–2003,WA,Invasive,372
75–79,2003–2007,ACT,Invasive,64
75–79,2003–2007,NSW,Invasive,1494
75–79,2003–2007,NT,Invasive,8
75–79,2003–2007,QLD,Invasive,769
75–79,2003–2007,SA,Invasive,411
75–79,2003–2007,TAS,Invasive,119
75–79,2003–2007,VIC,Invasive,1097
75–79,2003–2007,WA,Invasive,354
75–79,2004–2008,ACT,Invasive,57
75–79,2004–2008,NSW,Invasive,1488
75–79,2004–2008,NT,Invasive,8
75–79,2004–2008,QLD,Invasive,793
75–79,2004–2008,SA,Invasive,427
75–79,2004–2008,TAS,Invasive,109
75–79,2004–2008,VIC,Invasive,1080
75–79,2004–2008,WA,Invasive,387
75–79,2005–2009,ACT,Invasive,58
75–79,2005–2009,NSW,Invasive,1465
75–79,2005–2009,NT,Invasive,8
75–79,2005–2009,QLD,Invasive,802
75–79,2005–2009,SA,Invasive,426
75–79,2005–2009,TAS,Invasive,111
75–79,2005–2009,VIC,Invasive,1102
75–79,2005–2009,WA,Invasive,408
75–79,2006–2010,ACT,Invasive,56
75–79,2006–2010,NSW,Invasive,1496
75–79,2006–2010,NT,Invasive,6
75–79,2006–2010,QLD,Invasive,805
75–79,2006–2010,SA,Invasive,427
75–79,2006–2010,TAS,Invasive,102
75–79,2006–2010,VIC,Invasive,1090
75–79,2006–2010,WA,Invasive,420
75–79,2008–2012,ACT,Invasive,70
75–79,2008–2012,NSW,Invasive,1669
75–79,2008–2012,NT,Invasive,13
75–79,2008–2012,QLD,Invasive,883
75–79,2008–2012,SA,Invasive,434
75–79,2008–2012,TAS,Invasive,106
75–79,2008–2012,VIC,Invasive,1091
75–79,2008–2012,WA,Invasive,455
75–79,2009–2013,ACT,Invasive,76
75–79,2009–2013,NSW,Invasive,1764
75–79,2009–2013,NT,Invasive,13
75–79,2009–2013,QLD,Invasive,926
75–79,2009–2013,SA,Invasive,460
75–79,2009–2013,TAS,Invasive,119
75–79,2009–2013,VIC,Invasive,1189
75–79,2009–2013,WA,Invasive,478
75–79,2010–2014,ACT,Invasive,68
75–79,2010–2014,NSW,Invasive,1836
75–79,2010–2014,NT,Invasive,13
75–79,2010–2014,QLD,Invasive,968
75–79,2010–2014,SA,Invasive,498
75–79,2010–2014,TAS,Invasive,126
75–79,2010–2014,VIC,Invasive,1240
75–79,2010–2014,WA,Invasive,527
80–84,1998–2002,ACT,Invasive,34
80–84,1998–2002,NSW,Invasive,1017
80–84,1998–2002,NT,Invasive,5
80–84,1998–2002,QLD,Invasive,549
80–84,1998–2002,SA,Invasive,277
80–84,1998–2002,TAS,Invasive,67
80–84,1998–2002,VIC,Invasive,762
80–84,1998–2002,WA,Invasive,256
80–84,1999–2003,ACT,Invasive,18
80–84,1999–2003,NSW,Invasive,1118
80–84,1999–2003,NT,Invasive,2
80–84,1999–2003,QLD,Invasive,548
80–84,1999–2003,SA,Invasive,274
80–84,1999–2003,TAS,Invasive,74
80–84,1999–2003,VIC,Invasive,766
80–84,1999–2003,WA,Invasive,270
80–84,2003–2007,ACT,Invasive,45
80–84,2003–2007,NSW,Invasive,1182
80–84,2003–2007,QLD,Invasive,610
80–84,2003–2007,SA,Invasive,348
80–84,2003–2007,TAS,Invasive,87
80–84,2003–2007,VIC,Invasive,889
80–84,2003–2007,WA,Invasive,337
80–84,2004–2008,NSW,Invasive,1155
80–84,2004–2008,QLD,Invasive,636
80–84,2004–2008,SA,Invasive,354
80–84,2004–2008,TAS,Invasive,88
80–84,2004–2008,VIC,Invasive,926
80–84,2004–2008,WA,Invasive,344
80–84,2005–2009,ACT,Invasive,48
80–84,2005–2009,NSW,Invasive,1189
80–84,2005–2009,NT,Invasive,6
80–84,2005–2009,QLD,Invasive,660
80–84,2005–2009,SA,Invasive,362
80–84,2005–2009,TAS,Invasive,88
80–84,2005–2009,VIC,Invasive,958
80–84,2005–2009,WA,Invasive,363
80–84,2006–2010,ACT,Invasive,54
80–84,2006–2010,NSW,Invasive,1249
80–84,2006–2010,NT,Invasive,6
80–84,2006–2010,QLD,Invasive,640
80–84,2006–2010,SA,Invasive,345
80–84,2006–2010,TAS,Invasive,82
80–84,2006–2010,VIC,Invasive,991
80–84,2006–2010,WA,Invasive,378
80–84,2008–2012,ACT,Invasive,58
80–84,2008–2012,NSW,Invasive,1301
80–84,2008–2012,NT,Invasive,14
80–84,2008–2012,QLD,Invasive,684
80–84,2008–2012,SA,Invasive,348
80–84,2008–2012,TAS,Invasive,94
80–84,2008–2012,VIC,Invasive,1027
80–84,2008–2012,WA,Invasive,392
80–84,2009–2013,ACT,Invasive,63
80–84,2009–2013,NSW,Invasive,1343
80–84,2009–2013,NT,Invasive,15
80–84,2009–2013,QLD,Invasive,724
80–84,2009–2013,SA,Invasive,371
80–84,2009–2013,TAS,Invasive,91
80–84,2009–2013,VIC,Invasive,1065
80–84,2009–2013,WA,Invasive,385
80–84,2010–2014,ACT,Invasive,63
80–84,2010–2014,NSW,Invasive,1368
80–84,2010–2014,NT,Invasive,13
80–84,2010–2014,QLD,Invasive,746
80–84,2010–2014,SA,Invasive,364
80–84,2010–2014,TAS,Invasive,94
80–84,2010–2014,VIC,Invasive,1090
80–84,2010–2014,WA,Invasive,383
85+,1998–2002,ACT,Invasive,23
85+,1998–2002,NSW,Invasive,894
85+,1998–2002,NT,Invasive,6
85+,1998–2002,QLD,Invasive,460
85+,1998–2002,SA,Invasive,264
85+,1998–2002,TAS,Invasive,66
85+,1998–2002,VIC,Invasive,722
85+,1998–2002,WA,Invasive,237
85+,1999–2003,NSW,Invasive,933
85+,1999–2003,QLD,Invasive,476
85+,1999–2003,SA,Invasive,256
85+,1999–2003,TAS,Invasive,34
85+,1999–2003,VIC,Invasive,746
85+,1999–2003,WA,Invasive,247
85+,2003–2007,ACT,Invasive,37
85+,2003–2007,NSW,Invasive,1053
85+,2003–2007,NT,Invasive,6
85+,2003–2007,QLD,Invasive,483
85+,2003–2007,SA,Invasive,332
85+,2003–2007,TAS,Invasive,74
85+,2003–2007,VIC,Invasive,861
85+,2003–2007,WA,Invasive,267
85+,2004–2008,ACT,Invasive,20
85+,2004–2008,NSW,Invasive,1087
85+,2004–2008,NT,Invasive,3
85+,2004–2008,QLD,Invasive,538
85+,2004–2008,SA,Invasive,349
85+,2004–2008,TAS,Invasive,72
85+,2004–2008,VIC,Invasive,948
85+,2004–2008,WA,Invasive,286
85+,2005–2009,NSW,Invasive,1114
85+,2005–2009,QLD,Invasive,574
85+,2005–2009,SA,Invasive,327
85+,2005–2009,TAS,Invasive,80
85+,2005–2009,VIC,Invasive,998
85+,2005–2009,WA,Invasive,312
85+,2006–2010,ACT,Invasive,49
85+,2006–2010,NSW,Invasive,1162
85+,2006–2010,NT,Invasive,5
85+,2006–2010,QLD,Invasive,630
85+,2006–2010,SA,Invasive,322
85+,2006–2010,TAS,Invasive,78
85+,2006–2010,VIC,Invasive,1026
85+,2006–2010,WA,Invasive,329
85+,2008–2012,ACT,Invasive,57
85+,2008–2012,NSW,Invasive,1321
85+,2008–2012,NT,Invasive,7
85+,2008–2012,QLD,Invasive,747
85+,2008–2012,SA,Invasive,346
85+,2008–2012,TAS,Invasive,96
85+,2008–2012,VIC,Invasive,1114
85+,2008–2012,WA,Invasive,382
85+,2009–2013,ACT,Invasive,58
85+,2009–2013,NSW,Invasive,1406
85+,2009–2013,NT,Invasive,10
85+,2009–2013,QLD,Invasive,784
85+,2009–2013,SA,Invasive,372
85+,2009–2013,TAS,Invasive,107
85+,2009–2013,VIC,Invasive,1116
85+,2009–2013,WA,Invasive,401
85+,2010–2014,ACT,Invasive,64
85+,2010–2014,NSW,Invasive,1462
85+,2010–2014,NT,Invasive,12
85+,2010–2014,QLD,Invasive,822
85+,2010–2014,SA,Invasive,395
85+,2010–2014,TAS,Invasive,116
85+,2010–2014,VIC,Invasive,1176
85+,2010–2014,WA,Invasive,414
